age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
25,2,226802,5,7,4,6,3,2,1,0,0,40,37,0
38,2,89814,0,9,2,4,0,4,1,0,0,50,37,0
28,1,336951,6,12,2,10,0,4,1,0,0,40,37,1
44,2,160323,1,10,2,6,0,2,1,7688,0,40,37,1
34,2,198693,7,6,4,7,1,4,1,0,0,30,37,0
63,4,104626,9,15,2,9,0,4,1,3103,0,32,37,1
24,2,369667,1,10,4,7,4,4,0,0,0,40,37,0
55,2,104996,8,4,2,2,0,4,1,0,0,10,37,0
65,2,184454,0,9,2,6,0,4,1,6418,0,40,37,1
36,0,212465,2,13,2,0,0,4,1,0,0,40,37,0
26,2,82091,0,9,4,0,1,4,0,0,0,39,37,0
48,2,279724,0,9,2,6,0,4,1,3103,0,48,37,1
43,2,346189,3,14,2,3,0,4,1,0,0,50,37,1
20,5,444554,1,10,4,7,3,4,1,0,0,25,37,0
43,2,128354,0,9,2,0,5,4,0,0,0,30,37,0
37,2,60548,0,9,6,6,4,4,0,0,0,20,37,0
34,2,107914,2,13,2,12,0,4,1,0,0,47,37,1
34,2,238588,1,10,4,7,3,2,0,0,0,35,37,0
25,2,220931,2,13,4,9,1,4,1,0,0,43,27,0
25,2,205947,2,13,2,9,0,4,1,0,0,40,37,0
45,4,432824,0,9,2,2,0,4,1,7298,0,90,37,1
22,2,236427,0,9,4,0,3,4,1,0,0,20,37,0
23,2,134446,0,9,5,6,4,2,1,0,0,54,37,0
54,2,99516,0,9,2,2,0,4,1,0,0,35,37,0
32,4,109282,1,10,4,9,1,4,1,0,0,60,37,0
46,5,106444,1,10,2,3,0,2,1,7688,0,38,37,1
56,4,186651,5,7,6,7,4,4,0,0,0,50,37,0
24,4,188274,2,13,4,11,1,4,1,0,0,50,37,0
23,1,258120,1,10,2,10,0,4,1,0,0,40,37,0
26,2,43311,0,9,0,3,4,4,0,0,0,40,37,0
36,1,403681,2,13,2,9,0,4,1,0,0,40,37,1
22,2,248446,13,3,4,8,1,4,1,0,0,50,12,0
17,2,269430,7,6,4,6,1,4,1,0,0,40,37,0
20,2,257509,0,9,4,2,3,4,1,0,0,40,37,0
65,2,136384,3,14,2,9,0,4,1,0,0,50,37,1
44,3,120277,4,11,2,11,0,4,1,0,0,45,37,1
36,2,465326,0,9,2,4,0,4,1,0,0,40,37,0
29,2,103634,5,7,2,7,0,4,1,0,0,40,37,0
20,5,138371,1,10,4,4,3,4,1,0,0,32,37,0
28,2,242832,4,11,2,9,5,4,0,0,0,36,37,1
39,2,290208,8,4,2,2,0,4,1,0,0,40,24,0
54,2,186272,1,10,2,13,0,4,1,3908,0,50,37,0
52,2,201062,5,7,5,8,1,2,0,0,0,18,37,0
56,3,131916,0,9,6,3,1,4,0,0,0,50,37,0
18,2,54440,1,10,4,7,3,4,1,0,0,20,37,0
39,2,280215,0,9,0,5,3,2,1,0,0,40,37,0
21,2,214399,1,10,4,7,3,4,0,0,1721,24,37,0
22,2,54164,0,9,4,7,1,4,1,14084,0,60,37,1
38,2,219446,10,5,3,3,1,4,1,0,0,54,24,0
21,2,110677,1,10,4,0,3,4,0,0,0,40,37,0
63,2,145985,0,9,2,2,0,4,1,0,0,40,37,0
34,1,382078,2,13,2,3,0,4,1,3103,0,50,37,1
42,3,170721,0,9,2,3,0,4,1,5178,0,50,37,1
33,2,269705,0,9,2,5,0,4,1,0,0,40,37,0
30,2,101135,2,13,4,3,1,4,0,0,0,50,37,0
39,2,118429,1,10,0,11,1,4,1,0,0,40,37,0
26,2,31208,3,14,4,3,1,4,0,0,0,40,37,0
33,2,281384,0,9,4,6,3,4,0,0,0,40,37,0
47,1,171807,0,9,0,0,1,4,0,0,0,40,37,0
41,3,445382,6,12,2,2,0,4,1,15024,0,60,37,1
19,2,105460,1,10,4,7,3,4,1,0,0,20,37,0
46,2,170338,0,9,5,13,1,4,1,0,0,40,37,0
43,2,102606,0,9,2,11,0,4,1,0,0,48,37,0
55,2,323887,1,10,2,3,0,4,1,15024,0,45,37,1
46,2,175622,4,11,2,12,0,4,1,0,0,40,37,0
30,2,229636,0,9,2,6,0,4,1,0,0,40,24,0
21,2,388946,1,10,5,5,1,4,0,0,0,40,37,0
46,2,269034,1,10,2,2,0,3,1,0,0,40,5,0
41,2,75012,0,9,2,6,0,4,1,0,0,50,37,0
69,3,174379,0,9,2,11,0,4,1,0,0,30,37,0
50,2,312477,0,9,2,13,0,4,1,0,0,40,37,0
20,2,72055,1,10,4,0,1,4,0,0,0,40,37,0
45,3,67001,1,10,2,6,0,4,1,0,0,50,37,0
23,2,213734,2,13,4,3,1,4,1,0,0,40,37,0
24,2,83141,1,10,5,7,1,4,1,0,1876,40,37,0
31,4,113752,1,10,2,2,0,4,1,0,0,50,37,0
43,2,170482,0,9,5,6,1,4,0,0,0,44,37,0
20,0,244689,5,7,4,7,3,4,0,0,0,10,37,0
55,2,160631,0,9,2,11,0,4,1,0,0,56,37,1
24,0,228724,1,10,4,1,1,4,1,0,0,40,37,0
59,2,292946,2,13,4,3,1,4,0,0,0,25,37,0
49,0,77443,8,4,4,7,1,2,1,0,0,20,37,0
33,2,176410,3,14,2,9,5,4,0,5178,0,10,37,1
59,0,98984,2,13,0,0,1,4,1,0,0,40,37,0
34,2,198751,3,14,4,7,1,0,1,0,0,40,37,0
20,2,479296,0,9,4,5,3,4,1,0,0,40,37,0
25,2,235218,2,13,4,3,3,4,0,0,0,40,37,0
49,2,164877,7,6,2,4,0,4,1,0,0,40,37,0
59,2,272087,0,9,2,13,0,4,1,0,0,40,37,1
20,2,169699,0,9,4,0,1,4,0,0,0,40,37,0
33,2,202191,1,10,4,0,4,2,0,0,0,35,37,0
22,2,212261,1,10,4,13,3,2,1,0,0,39,37,0
58,4,301568,10,5,6,7,1,4,0,0,0,40,37,0
52,1,155233,0,9,6,0,4,4,0,0,0,28,37,0
36,2,75826,7,6,5,6,1,4,0,0,0,40,37,0
41,1,201520,0,9,2,10,0,4,1,0,0,40,37,0
28,2,154236,0,9,4,13,3,4,1,2597,0,40,37,0
19,2,289227,1,10,4,5,3,2,1,0,0,16,37,0
18,2,217439,0,9,4,7,1,4,0,0,0,28,37,0
18,2,179020,0,9,4,6,3,4,0,0,0,48,37,0
28,2,149624,1,10,2,2,0,4,1,0,0,40,37,0
29,2,337266,4,11,2,3,0,4,1,0,0,40,37,1
40,2,103541,1,10,2,5,0,4,1,0,0,40,37,0
26,2,206721,0,9,4,5,4,4,1,0,0,40,37,0
46,2,96773,0,9,2,2,0,4,1,0,0,40,37,0
23,2,200967,5,7,4,7,1,4,0,0,0,24,37,0
44,2,180019,0,9,3,0,4,4,0,0,0,40,37,0
43,2,179866,2,13,0,11,4,4,0,0,0,40,37,1
31,1,198770,2,13,0,9,4,4,0,0,0,60,37,0
18,2,219256,1,10,4,11,3,4,0,0,0,25,37,0
19,2,248730,1,10,4,10,3,4,1,0,0,30,37,0
41,2,110732,1,10,0,12,1,4,0,0,0,40,37,0
41,2,181020,0,9,0,5,4,4,0,0,0,40,37,0
69,2,183791,0,9,0,0,1,4,0,0,0,25,37,0
48,0,42972,12,16,2,9,5,4,0,0,0,40,37,1
28,2,134813,0,9,4,9,3,4,1,0,0,40,37,0
27,4,115438,0,9,2,2,0,4,1,0,0,60,19,1
41,2,239296,3,14,2,9,0,4,1,0,2415,50,37,1
41,2,428420,1,10,2,0,0,4,1,0,0,40,37,0
24,2,247846,0,9,4,2,4,2,0,0,0,40,37,0
42,3,100793,12,16,2,9,0,4,1,0,0,41,37,1
57,2,244478,0,9,2,2,0,2,1,0,0,48,37,0
30,2,142921,6,12,4,9,1,4,0,0,0,40,37,0
36,2,182863,0,9,2,11,0,4,1,0,0,60,37,1
49,2,171128,8,4,2,6,0,2,1,0,0,40,37,0
33,2,145402,0,9,2,6,5,4,0,0,0,35,37,0
23,2,306309,7,6,2,4,0,4,1,0,0,40,37,0
46,2,83822,3,14,2,9,0,4,1,0,0,40,37,0
18,2,262118,1,10,4,0,3,1,0,0,0,22,10,0
40,2,155972,0,9,2,3,0,4,1,7688,0,55,37,1
43,3,214503,0,9,2,3,0,4,1,0,1887,45,37,1
34,2,159303,3,14,4,9,3,4,0,0,0,30,37,0
47,4,174995,0,9,6,3,1,4,0,0,0,30,37,0
44,2,26669,4,11,6,3,4,4,0,0,0,30,37,0
33,2,177727,0,9,2,11,0,4,1,0,0,40,37,1
55,2,124771,2,13,2,3,0,4,1,15024,0,50,37,1
19,2,456736,0,9,4,11,1,4,1,2907,0,30,37,0
28,2,216604,1,10,4,7,1,2,1,0,0,14,37,0
27,2,221561,5,7,2,7,5,2,0,0,0,32,37,0
50,2,114564,8,4,2,6,0,4,1,0,0,20,37,0
22,2,315476,5,7,4,2,4,4,1,0,0,40,37,0
40,5,67874,2,13,2,0,0,4,1,0,1887,45,37,1
25,2,126110,1,10,4,0,3,4,0,0,0,40,37,0
26,1,102264,0,9,4,2,1,4,1,0,0,40,37,0
22,2,537222,2,13,4,11,1,4,1,0,0,25,37,0
42,2,113732,1,10,4,5,4,2,0,0,625,40,37,0
38,3,93225,2,13,0,3,1,4,1,0,0,40,37,0
55,2,43064,5,7,2,7,0,4,1,0,0,30,37,0
32,2,136921,0,9,2,11,0,4,1,0,0,40,37,0
22,2,388885,0,9,2,2,0,4,1,0,0,45,37,0
29,2,142249,2,13,4,11,3,4,1,0,0,40,37,0
46,5,56841,3,14,2,3,0,4,1,0,0,45,37,1
31,2,156493,1,10,2,3,0,4,1,0,0,40,37,1
58,4,159021,12,16,2,9,0,4,1,0,0,16,37,1
42,2,190910,0,9,2,2,0,4,1,0,0,45,37,0
18,2,41879,0,9,4,5,4,4,1,0,0,25,37,0
58,1,137249,0,9,0,3,1,4,1,0,0,33,37,0
54,2,236157,0,9,2,9,0,4,1,0,1887,40,37,1
34,2,189759,3,14,4,9,1,4,1,0,0,40,37,0
26,2,239877,2,13,4,0,1,4,0,0,0,40,37,0
61,2,21175,11,8,2,3,0,4,1,0,0,60,37,0
48,1,67229,3,14,5,0,4,2,0,0,0,40,37,0
36,2,236391,1,10,2,3,0,4,1,0,0,45,37,1
24,2,325596,4,11,2,6,0,4,1,0,0,45,37,0
40,2,83411,1,10,2,6,0,4,1,0,0,37,37,0
33,3,154227,0,9,2,11,0,4,1,0,0,50,37,1
37,2,248010,1,10,2,6,0,4,1,0,1887,40,37,1
34,2,198613,3,14,4,3,3,4,1,4650,0,40,37,0
56,3,321529,1,10,2,3,0,4,1,15024,0,40,37,1
37,2,203079,2,13,6,3,1,4,0,0,0,55,37,0
44,2,284652,0,9,0,11,4,2,0,0,0,40,37,0
54,2,59840,0,9,0,5,1,4,1,0,0,45,37,0
23,2,52753,0,9,4,6,1,4,1,0,0,50,37,0
22,2,199266,0,9,4,7,1,4,0,0,0,45,37,0
33,2,196385,2,13,2,3,0,4,1,0,1977,40,37,1
39,2,163205,2,13,5,9,1,4,1,0,0,50,37,1
47,2,411047,1,10,0,0,1,2,0,0,0,37,37,0
26,2,209440,0,9,4,9,4,2,0,0,0,55,37,0
31,2,56964,1,10,0,3,4,4,0,0,0,40,37,0
