age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
39,5,77516,2,13,4,0,1,4,1,2174,0,40,38,0
50,4,83311,2,13,2,3,0,4,1,0,0,13,38,0
38,2,215646,0,9,0,5,1,4,1,0,0,40,38,0
53,2,234721,5,7,2,5,0,2,1,0,0,40,38,0
28,2,338409,2,13,2,9,5,2,0,0,0,40,4,0
37,2,284582,3,14,2,3,5,4,0,0,0,40,38,0
49,2,160187,10,5,3,7,1,2,0,0,0,16,22,0
52,4,209642,0,9,2,3,0,4,1,0,0,45,38,1
31,2,45781,3,14,4,9,1,4,0,14084,0,50,38,1
42,2,159449,2,13,2,3,0,4,1,5178,0,40,38,1
37,2,280464,1,10,2,3,0,2,1,0,0,80,38,1
30,5,141297,2,13,2,9,0,1,1,0,0,40,18,1
23,2,122272,2,13,4,0,3,4,0,0,0,30,38,0
32,2,205019,6,12,4,11,1,2,1,0,0,50,38,0
34,2,245487,8,4,2,13,0,0,1,0,0,45,25,0
25,4,176756,0,9,4,4,3,4,1,0,0,35,38,0
32,2,186824,0,9,4,6,4,4,1,0,0,40,38,0
38,2,28887,5,7,2,11,0,4,1,0,0,50,38,0
43,4,292175,3,14,0,3,4,4,0,0,0,45,38,1
40,2,193524,12,16,2,9,0,4,1,0,0,60,38,1
54,2,302146,0,9,5,7,4,2,0,0,0,20,38,0
35,0,76845,10,5,2,4,0,2,1,0,0,40,38,0
43,2,117037,5,7,2,13,0,4,1,0,2042,40,38,0
59,2,109015,0,9,0,12,4,4,0,0,0,40,38,0
56,1,216851,2,13,2,12,0,4,1,0,0,40,38,1
19,2,168294,0,9,4,2,3,4,1,0,0,40,38,0
39,2,367260,0,9,0,3,1,4,1,0,0,80,38,0
49,2,193366,0,9,2,2,0,4,1,0,0,40,38,0
23,1,190709,6,12,4,10,1,4,1,0,0,52,38,0
20,2,266015,1,10,4,11,3,2,1,0,0,44,38,0
45,2,386940,2,13,0,3,3,4,1,0,1408,40,38,0
30,0,59951,1,10,2,0,3,4,1,0,0,40,38,0
22,5,311512,1,10,2,7,0,2,1,0,0,15,38,0
48,2,242406,5,7,4,6,4,4,1,0,0,40,32,0
21,2,197200,1,10,4,6,3,4,1,0,0,40,38,0
19,2,544091,0,9,1,0,5,4,0,0,0,25,38,0
48,4,265477,6,12,2,9,0,4,1,0,0,40,38,0
31,2,507875,10,5,2,6,0,4,1,0,0,43,38,0
53,4,88506,2,13,2,9,0,4,1,0,0,40,38,0
24,2,172987,2,13,2,12,0,4,1,0,0,50,38,0
49,2,94638,0,9,5,0,4,4,0,0,0,40,38,0
25,2,289980,0,9,4,5,1,4,1,0,0,35,38,0
57,0,337895,2,13,2,9,0,2,1,0,0,40,38,1
53,2,144361,0,9,2,6,0,4,1,0,0,38,38,0
44,2,128354,3,14,0,3,4,4,0,0,0,40,38,0
41,5,101603,4,11,2,2,0,4,1,0,0,40,38,0
29,2,271466,4,11,4,9,1,4,1,0,0,43,38,0
25,2,32275,1,10,2,3,5,3,0,0,0,40,38,0
47,2,51835,9,15,2,9,5,4,0,0,1902,60,15,1
50,0,251585,2,13,0,3,1,4,1,0,0,55,38,1
